"Geographic Area Name (NAME)","2017 NAICS Code (NAICS)","Meaning of NAICS Code (NAICS_LABEL)","Meaning of Establishments located in Metropolitan or Micropolitan Statistical Area indicator (METRO_LABEL)","Year (YEAR)","Number of firms (FIRM)","Number of establishments (ESTAB)","Number of employees (EMP)","(DHS) denominator (DENOM)","Number of establishments born during the last 12 months (ESTABS_ENTRY)","Rate of establishments born during the last 12 months (ESTABS_ENTRY_RATE)","Number of establishments exited during the last 12 months (ESTABS_EXIT)","Rate of establishments exited during the last 12 months (ESTABS_EXIT_RATE)","Number of jobs created from expanding and opening establishments during the last 12 months (JOB_CREATION)","Number of jobs created from opening establishments during the last 12 months (JOB_CREATION_BIRTHS)","Number of jobs created from expanding establishments during the last 12 months (JOB_CREATION_CONTINUERS)","Rate of jobs created from opening establishments during the last 12 months (JOB_CREATION_RATE_BIRTHS)","Rate of jobs created from expanding and opening establishments during the last 12 months (JOB_CREATION_RATE)","Number of jobs lost from contracting and closing establishments during the last 12 months (JOB_DESTRUCTION)","Number of jobs lost from closing establishments during the last 12 months (JOB_DESTRUCTION_DEATHS)","Number of jobs lost from contracting establishments during the last 12 months (JOB_DESTRUCTION_CONTINUERS)","Rate of jobs lost from closing establishments during the last 12 months (JOB_DESTRUCTION_RATE_DEATHS)","Rate of jobs lost from contracting and closing establishments during the last 12 months (JOB_DESTRUCTION_RATE)","Number of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months (NET_JOB_CREATION)","Rate of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months (NET_JOB_CREATION_RATE)","Rate of reallocation during the last 12 months (REALLOCATION_RATE)","Number of firms that exited during the last 12 months (FIRMDEATH_FIRMS)","Number of establishments associated with firm deaths during the last 12 months (FIRMDEATH_ESTABS)","Number of employees associated with firm deaths during the last 12 months (FIRMDEATH_EMP)"
"Alabama","00","Total for all sectors","Total","1978","54,617","65,496","1,024,183","984,996","10,229","15.949","7,509","11.708","212,179","69,948","142,231","7.101","21.541","134,427","51,488","82,939","5.227","13.647","77,752","7.894","27.295","5,238","5,314","27,806"
"Alabama","00","Total for all sectors","Total","1979","56,151","67,397","1,084,069","1,055,800","9,447","14.203","7,677","11.542","214,628","67,701","146,927","6.412","20.328","157,984","54,399","103,585","5.152","14.963","56,644","5.365","29.927","5,562","5,623","31,515"
"Alabama","00","Total for all sectors","Total","1980","55,850","67,294","1,077,160","1,080,339","8,563","12.715","8,665","12.867","168,419","54,268","114,151","5.023","15.589","174,641","54,575","120,066","5.052","16.165","−6,222","−0.576","31.179","6,304","6,366","33,512"
"Alabama","00","Total for all sectors","Total","1981","55,314","67,132","1,065,436","1,069,480","8,301","12.351","8,456","12.582","167,232","65,932","101,300","6.165","15.637","175,620","51,702","123,918","4.834","16.421","−8,388","−0.784","31.274","6,253","6,341","32,055"
"Alabama","00","Total for all sectors","Total","1982","53,618","65,707","1,038,220","1,054,311","7,645","11.505","9,130","13.740","155,532","55,423","100,109","5.257","14.752","188,138","59,084","129,054","5.604","17.845","−32,606","−3.093","29.504","6,581","6,652","38,108"
"Alabama","00","Total for all sectors","Total","1983","53,723","65,387","1,002,074","1,021,668","8,379","12.781","8,722","13.304","160,371","55,151","105,220","5.398","15.697","199,534","75,760","123,774","7.415","19.530","−39,163","−3.833","31.394","5,578","5,710","31,742"
"Alabama","00","Total for all sectors","Total","1984","57,363","69,567","1,095,073","1,048,950","10,767","15.954","6,610","9.794","215,939","75,400","140,539","7.188","20.586","123,329","41,356","81,973","3.943","11.757","92,610","8.829","23.515","4,898","4,953","26,588"
"Alabama","00","Total for all sectors","Total","1985","58,402","70,891","1,166,694","1,145,422","9,921","14.128","8,585","12.225","210,547","75,838","134,709","6.621","18.382","168,332","67,415","100,917","5.886","14.696","42,215","3.686","29.392","6,147","6,254","38,584"
"Alabama","00","Total for all sectors","Total","1986","59,600","72,808","1,216,889","1,191,947","10,414","14.495","8,487","11.813","225,441","86,292","139,149","7.240","18.914","175,949","60,601","115,348","5.084","14.761","49,492","4.152","29.523","6,047","6,165","35,051"
"Alabama","00","Total for all sectors","Total","1987","60,931","74,689","1,203,051","1,195,670","10,773","14.607","8,896","12.062","221,022","85,317","135,705","7.135","18.485","205,897","73,126","132,771","6.116","17.220","15,125","1.265","34.440","6,124","6,250","38,825"
"Alabama","00","Total for all sectors","Total","1988","62,234","76,628","1,238,250","1,221,972","10,552","13.936","8,727","11.526","220,542","90,729","129,813","7.425","18.048","187,379","67,843","119,536","5.552","15.334","33,163","2.714","30.668","6,004","6,105","36,484"
"Alabama","00","Total for all sectors","Total","1989","63,390","78,416","1,305,364","1,271,078","10,484","13.521","8,734","11.264","240,189","90,496","149,693","7.120","18.896","172,176","60,161","112,015","4.733","13.546","68,013","5.351","27.091","6,191","6,324","36,551"
"Alabama","00","Total for all sectors","Total","1990","64,308","79,785","1,355,195","1,331,770","10,005","12.648","8,639","10.921","224,969","74,008","150,961","5.557","16.892","177,586","59,522","118,064","4.469","13.335","47,383","3.558","26.669","6,328","6,467","39,902"
"Alabama","00","Total for all sectors","Total","1991","64,048","80,275","1,351,735","1,356,431","9,738","12.174","9,173","11.467","216,462","90,499","125,963","6.672","15.958","225,330","84,091","141,239","6.199","16.612","−8,868","−0.654","31.916","6,319","6,480","50,384"
"Alabama","00","Total for all sectors","Total","1992","64,646","81,087","1,368,905","1,364,074","9,450","11.716","8,588","10.648","216,726","72,246","144,480","5.296","15.888","205,987","68,900","137,087","5.051","15.101","10,739","0.787","30.202","5,788","5,934","38,735"
"Alabama","00","Total for all sectors","Total","1993","66,295","82,711","1,416,879","1,392,926","9,602","11.724","7,975","9.738","226,900","67,144","159,756","4.820","16.289","178,343","59,535","118,808","4.274","12.803","48,557","3.486","25.607","5,361","5,502","31,565"
"Alabama","00","Total for all sectors","Total","1994","68,231","84,980","1,451,927","1,437,452","10,379","12.372","8,195","9.769","222,605","81,134","141,471","5.644","15.486","194,508","61,627","132,881","4.287","13.531","28,097","1.955","27.063","5,706","5,846","35,956"
"Alabama","00","Total for all sectors","Total","1995","70,159","87,429","1,519,027","1,483,043","10,569","12.261","8,115","9.414","247,715","84,774","162,941","5.716","16.703","175,591","57,483","118,108","3.876","11.840","72,124","4.863","23.680","5,762","5,901","35,626"
"Alabama","00","Total for all sectors","Total","1996","71,082","89,030","1,525,906","1,517,465","10,555","11.985","8,637","9.807","230,584","81,623","148,961","5.379","15.195","213,373","71,437","141,936","4.708","14.061","17,211","1.134","28.122","6,276","6,392","40,604"
"Alabama","00","Total for all sectors","Total","1997","71,680","90,195","1,555,639","1,542,627","10,799","12.049","9,655","10.773","266,672","98,562","168,110","6.389","17.287","240,801","87,133","153,668","5.648","15.610","25,871","1.677","31.220","6,666","6,805","47,082"
"Alabama","00","Total for all sectors","Total","1998","72,239","91,147","1,606,059","1,595,945","10,101","11.120","9,474","10.430","246,496","83,490","163,006","5.231","15.445","225,369","78,213","147,156","4.901","14.121","21,127","1.324","28.243","6,459","6,702","41,018"
"Alabama","00","Total for all sectors","Total","1999","72,248","91,627","1,620,838","1,613,801","9,695","10.608","9,222","10.091","248,851","90,704","158,147","5.621","15.420","234,933","79,945","154,988","4.954","14.558","13,918","0.862","29.115","6,274","6,436","40,406"
"Alabama","00","Total for all sectors","Total","2000","71,640","91,228","1,654,566","1,640,107","9,202","10.062","9,644","10.546","252,762","74,096","178,666","4.518","15.411","224,228","81,354","142,874","4.960","13.672","28,534","1.740","27.343","6,437","6,656","43,160"
"Alabama","00","Total for all sectors","Total","2001","70,613","90,886","1,609,864","1,631,090","9,450","10.379","9,773","10.734","232,382","94,032","138,350","5.765","14.247","273,646","95,946","177,700","5.882","16.777","−41,264","−2.530","28.494","6,410","6,705","50,686"
"Alabama","00","Total for all sectors","Total","2002","70,730","91,403","1,579,853","1,596,739","10,227","11.204","9,976","10.929","257,001","99,909","157,092","6.257","16.095","291,203","95,923","195,280","6.007","18.237","−34,202","−2.142","32.191","6,024","6,192","49,161"
"Alabama","00","Total for all sectors","Total","2003","71,272","92,206","1,598,244","1,589,272","9,580","10.438","8,725","9.507","246,112","77,042","169,070","4.848","15.486","227,737","71,766","155,971","4.516","14.330","18,375","1.156","28.659","5,859","5,935","34,103"
"Alabama","00","Total for all sectors","Total","2004","71,881","93,032","1,640,291","1,619,496","9,482","10.238","8,650","9.340","255,807","81,489","174,318","5.032","15.795","214,723","74,003","140,720","4.570","13.259","41,084","2.537","26.517","5,685","5,763","35,949"
"Alabama","00","Total for all sectors","Total","2005","72,498","94,168","1,676,828","1,658,910","9,686","10.349","8,529","9.113","266,368","82,488","183,880","4.972","16.057","232,113","73,038","159,075","4.403","13.992","34,255","2.065","27.984","5,690","5,796","32,280"
"Alabama","00","Total for all sectors","Total","2006","73,345","96,404","1,724,262","1,700,413","10,751","11.283","8,516","8.937","269,887","104,640","165,247","6.154","15.872","221,775","66,760","155,015","3.926","13.042","48,112","2.829","26.085","5,971","6,089","35,760"
"Alabama","00","Total for all sectors","Total","2007","74,184","97,866","1,716,764","1,720,833","10,872","11.195","9,368","9.646","257,701","92,859","164,842","5.396","14.975","266,336","90,437","175,899","5.255","15.477","−8,635","−0.502","29.951","5,865","6,070","36,366"
"Alabama","00","Total for all sectors","Total","2008","73,361","97,178","1,712,629","1,714,457","9,031","9.263","9,676","9.924","235,214","75,903","159,311","4.427","13.719","238,744","79,775","158,969","4.653","13.925","−3,530","−0.206","27.439","6,432","6,623","38,789"
