"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments code (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)"
"Alabama","541511","Custom computer programming services","All establishments","All establishments","2019","377","609,614","147,242","6,370"
"Alabama","541511","Custom computer programming services","All establishments","Establishments with less than 5 employees","2019","237","35,100","4,457","342"
"Alabama","541511","Custom computer programming services","All establishments","Establishments with 5 to 9 employees","2019","49","23,711","5,736","328"
"Alabama","541511","Custom computer programming services","All establishments","Establishments with 10 to 19 employees","2019","35","45,624","10,683","512"
"Alabama","541511","Custom computer programming services","All establishments","Establishments with 20 to 49 employees","2019","35","124,974","29,199","1,143"
"Alabama","541511","Custom computer programming services","All establishments","Establishments with 50 to 99 employees","2019","9","63,668","15,027","607"
"Alabama","541511","Custom computer programming services","All establishments","Establishments with 100 to 249 employees","2019","8","105,551","26,315","1,114"
"Alabama","541511","Custom computer programming services","All establishments","Establishments with 250 to 499 employees","2019","3","80,212","19,639","1,043"
"Alabama","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","All establishments","2019","103","396,757","102,843","4,095"
"Alabama","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2019","51","5,881","1,242","82"
"Alabama","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2019","11","6,149","1,489","70"
"Alabama","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2019","14","22,602","5,177","217"
"Alabama","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2019","13","56,078","13,551","445"
"Alabama","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2019","5","37,154","9,145","333"
"Alabama","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2019","6","83,284","21,642","866"
"Alabama","541511","Custom computer programming services","S-corporations ","All establishments","2019","219","168,801","34,091","1,750"
"Alabama","541511","Custom computer programming services","S-corporations ","Establishments with less than 5 employees","2019","148","24,451","2,427","194"
"Alabama","541511","Custom computer programming services","S-corporations ","Establishments with 5 to 9 employees","2019","35","16,306","3,944","238"
"Alabama","541511","Custom computer programming services","S-corporations ","Establishments with 10 to 19 employees","2019","15","16,098","3,960","219"
"Alabama","541511","Custom computer programming services","S-corporations ","Establishments with 20 to 49 employees","2019","16","52,209","11,364","505"
"Alabama","541511","Custom computer programming services","S-corporations ","Establishments with 50 to 99 employees","2019","3","19,820","4,192","196"
"Alabama","541511","Custom computer programming services","Individual proprietorships","All establishments","2019","19","17,016","4,058","213"
"Alabama","541511","Custom computer programming services","Individual proprietorships","Establishments with less than 5 employees","2019","14","2,258","217","26"
"Alabama","541511","Custom computer programming services","Individual proprietorships","Establishments with 20 to 49 employees","2019","3","7,471","2,023","100"
"Alabama","541511","Custom computer programming services","Partnerships","All establishments","2019","35","26,982","6,236","310"
"Alabama","541511","Custom computer programming services","Partnerships","Establishments with less than 5 employees","2019","23","2,452","557","38"
"Alabama","541511","Custom computer programming services","Partnerships","Establishments with 10 to 19 employees","2019","6","6,924","1,546","76"
"Alabama","541511","Custom computer programming services","Partnerships","Establishments with 20 to 49 employees","2019","3","9,216","2,261","93"
"Alaska","541511","Custom computer programming services","All establishments","All establishments","2019","69","66,811","16,464","887"
"Alaska","541511","Custom computer programming services","All establishments","Establishments with less than 5 employees","2019","45","5,108","1,084","67"
"Alaska","541511","Custom computer programming services","All establishments","Establishments with 5 to 9 employees","2019","10","5,021","1,184","63"
"Alaska","541511","Custom computer programming services","All establishments","Establishments with 10 to 19 employees","2019","5","5,451","1,141","66"
"Alaska","541511","Custom computer programming services","All establishments","Establishments with 20 to 49 employees","2019","5","13,169","3,128","134"
"Alaska","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","All establishments","2019","20","26,454","6,749","407"
"Alaska","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2019","14","1,750","482","19"
"Alaska","541511","Custom computer programming services","S-corporations ","All establishments","2019","36","38,591","9,265","448"
"Alaska","541511","Custom computer programming services","S-corporations ","Establishments with less than 5 employees","2019","20","2,069","280","28"
"Alaska","541511","Custom computer programming services","S-corporations ","Establishments with 5 to 9 employees","2019","7","3,970","912","45"
"Alaska","541511","Custom computer programming services","S-corporations ","Establishments with 10 to 19 employees","2019","3","4,000","813","46"
"Alaska","541511","Custom computer programming services","S-corporations ","Establishments with 20 to 49 employees","2019","4","11,812","2,799","109"
"Alaska","541511","Custom computer programming services","Individual proprietorships","All establishments","2019","9","1,078","273","22"
"Alaska","541511","Custom computer programming services","Individual proprietorships","Establishments with less than 5 employees","2019","8","798","187","15"
"Alaska","541511","Custom computer programming services","Partnerships","All establishments","2019","4","688","177","10"
"Alaska","541511","Custom computer programming services","Partnerships","Establishments with less than 5 employees","2019","3","491","135","5"
"Arizona","541511","Custom computer programming services","All establishments","All establishments","2019","1,113","1,253,766","318,088","14,489"
"Arizona","541511","Custom computer programming services","All establishments","Establishments with less than 5 employees","2019","831","80,820","15,199","1,041"
"Arizona","541511","Custom computer programming services","All establishments","Establishments with 5 to 9 employees","2019","100","50,127","11,389","670"
"Arizona","541511","Custom computer programming services","All establishments","Establishments with 10 to 19 employees","2019","77","94,705","22,061","1,074"
"Arizona","541511","Custom computer programming services","All establishments","Establishments with 20 to 49 employees","2019","55","161,227","37,142","1,617"
"Arizona","541511","Custom computer programming services","All establishments","Establishments with 50 to 99 employees","2019","29","200,468","50,232","1,898"
"Arizona","541511","Custom computer programming services","All establishments","Establishments with 100 to 249 employees","2019","14","196,444","45,681","2,205"
"Arizona","541511","Custom computer programming services","All establishments","Establishments with 500 to 999 employees","2019","4","206,309","55,505","2,581"
"Arizona","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","All establishments","2019","239","776,966","205,797","8,542"
"Arizona","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2019","139","19,573","3,880","197"
"Arizona","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2019","25","16,042","3,669","172"
"Arizona","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2019","24","34,887","8,205","315"
"Arizona","541511","Custom computer programming services","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2019","22","87,196","19,430","670"
