State,Business size,#Establishments,Total #employees,Region,Men to women degree holders ratio,#Bachelor's degree holders,#Science and Engineering degree holders,#Science and Engineering Related Fields degree holders,#Business degree holders,#Education degree holders,"#Arts, Humanities and Others degree holders",#(Mid)Senior degree holders,(Mid)Senior to total ratio,Degree holders to establishments ratio,Rate born - exited,Average rank,Average #employees,State code
Alabama,Establishments with 50 to 99 employees,9,607,Southeast,0.8454972391237735,885357,263555,98445,210147,141071,172139,687404,0.7764144859079445,88535.7,-0.266,199.5,67.44444444444444,AL
Alabama,Establishments with 100 to 249 employees,8,1114,Southeast,0.8454972391237735,885357,263555,98445,210147,141071,172139,687404,0.7764144859079445,88535.7,-0.266,199.5,139.25,AL
Alabama,Establishments with 250 to 499 employees,3,1043,Southeast,0.8454972391237735,885357,263555,98445,210147,141071,172139,687404,0.7764144859079445,88535.7,-0.266,199.5,347.6666666666667,AL
Arizona,Establishments with 50 to 99 employees,29,1898,Southwest,0.9427395194962953,1492158,512718,151885,312503,197335,317717,1086752,0.7283089324320883,63496.085106382976,0.25900000000000034,206.0,65.44827586206897,AZ
Arizona,Establishments with 100 to 249 employees,14,2205,Southwest,0.9427395194962953,1492158,512718,151885,312503,197335,317717,1086752,0.7283089324320883,63496.085106382976,0.25900000000000034,206.0,157.5,AZ
Arizona,Establishments with 500 to 999 employees,4,2581,Southwest,0.9427395194962953,1492158,512718,151885,312503,197335,317717,1086752,0.7283089324320883,63496.085106382976,0.25900000000000034,206.0,645.25,AZ
Arkansas,Establishments with 50 to 99 employees,5,415,Southeast,0.8277511409819173,475367,139003,54503,100020,86256,95585,368040,0.7742228635980201,86430.36363636363,0.060090909090908085,210.0,83.0,AR
Arkansas,Establishments with 100 to 249 employees,6,995,Southeast,0.8277511409819173,475367,139003,54503,100020,86256,95585,368040,0.7742228635980201,86430.36363636363,0.060090909090908085,210.0,165.83333333333334,AR
California,Establishments with 50 to 99 employees,306,20335,West,0.9366222178403293,9428484,3929561,781396,1721094,580366,2416067,7545298,0.8002662994390191,35050.126394052044,0.6682727272727274,66.9090909090909,66.45424836601308,CA
California,Establishments with 100 to 249 employees,158,23769,West,0.9366222178403293,9428484,3929561,781396,1721094,580366,2416067,7545298,0.8002662994390191,35050.126394052044,0.6682727272727274,66.9090909090909,150.4367088607595,CA
California,Establishments with 250 to 499 employees,47,15730,West,0.9366222178403293,9428484,3929561,781396,1721094,580366,2416067,7545298,0.8002662994390191,35050.126394052044,0.6682727272727274,66.9090909090909,334.6808510638298,CA
California,Establishments with 500 to 999 employees,14,9054,West,0.9366222178403293,9428484,3929561,781396,1721094,580366,2416067,7545298,0.8002662994390191,35050.126394052044,0.6682727272727274,66.9090909090909,646.7142857142857,CA
California,Establishments with 1000 employees or more,13,46459,West,0.9366222178403293,9428484,3929561,781396,1721094,580366,2416067,7545298,0.8002662994390191,35050.126394052044,0.6682727272727274,66.9090909090909,3573.769230769231,CA
Colorado,Establishments with 50 to 99 employees,37,2591,West,0.9564563213218411,1695602,662836,143362,347333,148597,393474,1364304,0.8046133467641581,46454.849315068495,0.8449090909090913,188.0,70.02702702702703,CO
Colorado,Establishments with 100 to 249 employees,26,3580,West,0.9564563213218411,1695602,662836,143362,347333,148597,393474,1364304,0.8046133467641581,46454.849315068495,0.8449090909090913,188.0,137.69230769230768,CO
Colorado,Establishments with 250 to 499 employees,5,2018,West,0.9564563213218411,1695602,662836,143362,347333,148597,393474,1364304,0.8046133467641581,46454.849315068495,0.8449090909090913,188.0,403.6,CO
Colorado,Establishments with 500 to 999 employees,5,3013,West,0.9564563213218411,1695602,662836,143362,347333,148597,393474,1364304,0.8046133467641581,46454.849315068495,0.8449090909090913,188.0,602.6,CO
Connecticut,Establishments with 50 to 99 employees,21,1502,Northeast,0.8854062005922297,994548,361107,88471,196631,101676,246663,779167,0.7834383056423622,53759.35135135135,-0.3929090909090913,34.666666666666664,71.52380952380952,CT
Connecticut,Establishments with 100 to 249 employees,12,1820,Northeast,0.8854062005922297,994548,361107,88471,196631,101676,246663,779167,0.7834383056423622,53759.35135135135,-0.3929090909090913,34.666666666666664,151.66666666666666,CT
Connecticut,Establishments with 250 to 499 employees,4,1423,Northeast,0.8854062005922297,994548,361107,88471,196631,101676,246663,779167,0.7834383056423622,53759.35135135135,-0.3929090909090913,34.666666666666664,355.75,CT
Delaware,Establishments with 50 to 99 employees,10,765,Northeast,0.871173793612398,228199,75623,23007,46817,29708,53044,171810,0.7528954991038523,32599.85714285714,0.3277272727272731,188.0,76.5,DE
Delaware,Establishments with 100 to 249 employees,4,557,Northeast,0.871173793612398,228199,75623,23007,46817,29708,53044,171810,0.7528954991038523,32599.85714285714,0.3277272727272731,188.0,139.25,DE
District of Columbia,Establishments with 50 to 99 employees,17,1184,Southeast,0.9107413394187189,301429,146209,15612,39114,10251,90243,261583,0.8678096666213271,23186.846153846152,1.1229090909090917,135.0,69.6470588235294,DC
District of Columbia,Establishments with 100 to 249 employees,9,1334,Southeast,0.9107413394187189,301429,146209,15612,39114,10251,90243,261583,0.8678096666213271,23186.846153846152,1.1229090909090917,135.0,148.22222222222223,DC
Florida,Establishments with 50 to 99 employees,75,5343,Southeast,0.9123152206008363,4753637,1520631,510325,1155695,613501,953485,3439620,0.7235764952182928,82671.94782608695,1.038818181818181,169.42857142857142,71.24,FL
Florida,Establishments with 100 to 249 employees,22,3466,Southeast,0.9123152206008363,4753637,1520631,510325,1155695,613501,953485,3439620,0.7235764952182928,82671.94782608695,1.038818181818181,169.42857142857142,157.54545454545453,FL
Florida,Establishments with 250 to 499 employees,11,3641,Southeast,0.9123152206008363,4753637,1520631,510325,1155695,613501,953485,3439620,0.7235764952182928,82671.94782608695,1.038818181818181,169.42857142857142,331.0,FL
Florida,Establishments with 500 to 999 employees,4,2731,Southeast,0.9123152206008363,4753637,1520631,510325,1155695,613501,953485,3439620,0.7235764952182928,82671.94782608695,1.038818181818181,169.42857142857142,682.75,FL
Florida,Establishments with 1000 employees or more,3,5212,Southeast,0.9123152206008363,4753637,1520631,510325,1155695,613501,953485,3439620,0.7235764952182928,82671.94782608695,1.038818181818181,169.42857142857142,1737.3333333333333,FL
Georgia,Establishments with 50 to 99 employees,64,4500,Southeast,0.8256342731588528,2301568,753498,215464,545251,298007,489348,1893485,0.8226934854846782,36532.8253968254,0.35772727272727245,134.5,70.3125,GA
Georgia,Establishments with 100 to 249 employees,48,7417,Southeast,0.8256342731588528,2301568,753498,215464,545251,298007,489348,1893485,0.8226934854846782,36532.8253968254,0.35772727272727245,134.5,154.52083333333334,GA
Georgia,Establishments with 250 to 499 employees,10,3629,Southeast,0.8256342731588528,2301568,753498,215464,545251,298007,489348,1893485,0.8226934854846782,36532.8253968254,0.35772727272727245,134.5,362.9,GA
Georgia,Establishments with 500 to 999 employees,4,2921,Southeast,0.8256342731588528,2301568,753498,215464,545251,298007,489348,1893485,0.8226934854846782,36532.8253968254,0.35772727272727245,134.5,730.25,GA
Hawaii,Establishments with 50 to 99 employees,6,385,West,0.8291443850267379,335209,123327,34687,67549,38313,71333,249650,0.7447592397578824,111736.33333333333,-0.025272727272728446,214.0,64.16666666666667,HI
Idaho,Establishments with 50 to 99 employees,4,248,West,0.957512748501288,336655,118537,38379,57425,47578,74736,255770,0.7597391988831296,96187.14285714286,0.5959999999999983,214.0,62.0,ID
Idaho,Establishments with 100 to 249 employees,3,481,West,0.957512748501288,336655,118537,38379,57425,47578,74736,255770,0.7597391988831296,96187.14285714286,0.5959999999999983,214.0,160.33333333333334,ID
Illinois,Establishments with 50 to 99 employees,68,4585,Midwest,0.8910941376770294,3108972,1045224,310047,662118,376087,715496,2546072,0.8189433677755863,44098.89361702128,-0.10263636363636408,27.363636363636363,67.42647058823529,IL
Illinois,Establishments with 100 to 249 employees,50,6873,Midwest,0.8910941376770294,3108972,1045224,310047,662118,376087,715496,2546072,0.8189433677755863,44098.89361702128,-0.10263636363636408,27.363636363636363,137.46,IL
Illinois,Establishments with 250 to 499 employees,16,5376,Midwest,0.8910941376770294,3108972,1045224,310047,662118,376087,715496,2546072,0.8189433677755863,44098.89361702128,-0.10263636363636408,27.363636363636363,336.0,IL
Illinois,Establishments with 500 to 999 employees,4,2590,Midwest,0.8910941376770294,3108972,1045224,310047,662118,376087,715496,2546072,0.8189433677755863,44098.89361702128,-0.10263636363636408,27.363636363636363,647.5,IL
Illinois,Establishments with 1000 employees or more,3,7649,Midwest,0.8910941376770294,3108972,1045224,310047,662118,376087,715496,2546072,0.8189433677755863,44098.89361702128,-0.10263636363636408,27.363636363636363,2549.6666666666665,IL
Indiana,Establishments with 50 to 99 employees,13,967,Midwest,0.8870031708690795,1212826,357868,148031,254878,190166,261883,977432,0.8059128020012764,73504.60606060606,-0.08590909090909093,116.6,74.38461538461539,IN
Indiana,Establishments with 100 to 249 employees,16,2308,Midwest,0.8870031708690795,1212826,357868,148031,254878,190166,261883,977432,0.8059128020012764,73504.60606060606,-0.08590909090909093,116.6,144.25,IN
Indiana,Establishments with 250 to 499 employees,4,1308,Midwest,0.8870031708690795,1212826,357868,148031,254878,190166,261883,977432,0.8059128020012764,73504.60606060606,-0.08590909090909093,116.6,327.0,IN
Iowa,Establishments with 50 to 99 employees,16,1126,Midwest,0.8633397715192621,622253,191585,61347,124622,112723,131976,491768,0.790302336830839,54108.95652173913,0.04572727272727217,194.0,70.375,IA
Iowa,Establishments with 100 to 249 employees,7,1365,Midwest,0.8633397715192621,622253,191585,61347,124622,112723,131976,491768,0.790302336830839,54108.95652173913,0.04572727272727217,194.0,195.0,IA
Kansas,Establishments with 50 to 99 employees,10,701,Midwest,0.881575532473225,652489,191504,71209,136103,113425,140248,508557,0.7794108406425242,68683.05263157895,-0.21472727272727177,202.0,70.1,KS
Kansas,Establishments with 100 to 249 employees,9,1458,Midwest,0.881575532473225,652489,191504,71209,136103,113425,140248,508557,0.7794108406425242,68683.05263157895,-0.21472727272727177,202.0,162.0,KS
Kentucky,Establishments with 50 to 99 employees,14,963,Southeast,0.8378344007121724,765923,215874,90610,152929,123079,183431,609186,0.7953619358603933,85102.55555555556,-0.038181818181817206,210.0,68.78571428571429,KY
Kentucky,Establishments with 100 to 249 employees,4,686,Southeast,0.8378344007121724,765923,215874,90610,152929,123079,183431,609186,0.7953619358603933,85102.55555555556,-0.038181818181817206,210.0,171.5,KY
Louisiana,Establishments with 50 to 99 employees,5,340,Southeast,0.7679260977473609,784275,226007,103021,151884,126033,177330,615845,0.7852411462815977,174283.33333333334,0.14981818181818163,164.0,68.0,LA
Louisiana,Establishments with 100 to 249 employees,4,633,Southeast,0.7679260977473609,784275,226007,103021,151884,126033,177330,615845,0.7852411462815977,174283.33333333334,0.14981818181818163,164.0,158.25,LA
Maryland,Establishments with 50 to 99 employees,69,5098,Northeast,0.8492731495698586,1710230,699103,155344,317385,151937,386461,1368001,0.7998929968483771,25525.82089552239,0.05572727272727285,99.0,73.8840579710145,MD
Maryland,Establishments with 100 to 249 employees,52,7780,Northeast,0.8492731495698586,1710230,699103,155344,317385,151937,386461,1368001,0.7998929968483771,25525.82089552239,0.05572727272727285,99.0,149.6153846153846,MD
Maryland,Establishments with 250 to 499 employees,8,2571,Northeast,0.8492731495698586,1710230,699103,155344,317385,151937,386461,1368001,0.7998929968483771,25525.82089552239,0.05572727272727285,99.0,321.375,MD
Maryland,Establishments with 500 to 999 employees,5,3692,Northeast,0.8492731495698586,1710230,699103,155344,317385,151937,386461,1368001,0.7998929968483771,25525.82089552239,0.05572727272727285,99.0,738.4,MD
Massachusetts,Establishments with 50 to 99 employees,64,4506,Northeast,0.8816499408357511,2181743,888818,192860,387672,184168,528225,1766622,0.8097296519342563,35475.49593495935,0.3303636363636393,14.266666666666667,70.40625,MA
Massachusetts,Establishments with 100 to 249 employees,40,6214,Northeast,0.8816499408357511,2181743,888818,192860,387672,184168,528225,1766622,0.8097296519342563,35475.49593495935,0.3303636363636393,14.266666666666667,155.35,MA
Massachusetts,Establishments with 250 to 499 employees,11,4226,Northeast,0.8816499408357511,2181743,888818,192860,387672,184168,528225,1766622,0.8097296519342563,35475.49593495935,0.3303636363636393,14.266666666666667,384.1818181818182,MA
Massachusetts,Establishments with 500 to 999 employees,5,3698,Northeast,0.8816499408357511,2181743,888818,192860,387672,184168,528225,1766622,0.8097296519342563,35475.49593495935,0.3303636363636393,14.266666666666667,739.6,MA
Massachusetts,Establishments with 1000 employees or more,3,3943,Northeast,0.8816499408357511,2181743,888818,192860,387672,184168,528225,1766622,0.8097296519342563,35475.49593495935,0.3303636363636393,14.266666666666667,1314.3333333333333,MA
Michigan,Establishments with 50 to 99 employees,48,3179,Midwest,0.902249947868966,2070795,694052,231516,438527,274144,432556,1620524,0.7825612868487707,55967.43243243243,-0.27481818181818163,150.0,66.22916666666667,MI
Michigan,Establishments with 100 to 249 employees,13,2056,Midwest,0.902249947868966,2070795,694052,231516,438527,274144,432556,1620524,0.7825612868487707,55967.43243243243,-0.27481818181818163,150.0,158.15384615384616,MI
Michigan,Establishments with 250 to 499 employees,8,2693,Midwest,0.902249947868966,2070795,694052,231516,438527,274144,432556,1620524,0.7825612868487707,55967.43243243243,-0.27481818181818163,150.0,336.625,MI
Michigan,Establishments with 500 to 999 employees,5,3822,Midwest,0.902249947868966,2070795,694052,231516,438527,274144,432556,1620524,0.7825612868487707,55967.43243243243,-0.27481818181818163,150.0,764.4,MI
Minnesota,Establishments with 50 to 99 employees,25,1722,Midwest,0.8934873250154572,1433226,496235,138996,283017,194355,320623,1158750,0.808490775355736,56204.94117647059,0.13609090909091037,183.0,68.88,MN
Minnesota,Establishments with 100 to 249 employees,18,2851,Midwest,0.8934873250154572,1433226,496235,138996,283017,194355,320623,1158750,0.808490775355736,56204.94117647059,0.13609090909091037,183.0,158.38888888888889,MN
Minnesota,Establishments with 250 to 499 employees,8,2954,Midwest,0.8934873250154572,1433226,496235,138996,283017,194355,320623,1158750,0.808490775355736,56204.94117647059,0.13609090909091037,183.0,369.25,MN
Mississippi,Establishments with 50 to 99 employees,3,230,Southeast,0.7245389528256219,441751,119797,55479,90107,92391,83977,336779,0.762372920491408,294500.6666666667,-0.274,214.0,76.66666666666667,MS
Missouri,Establishments with 50 to 99 employees,14,1042,Midwest,0.8609322805507493,1271281,383824,137570,277875,195694,276318,1017063,0.800030048431464,72644.62857142858,0.42272727272727373,128.14285714285714,74.42857142857143,MO
Missouri,Establishments with 100 to 249 employees,14,2445,Midwest,0.8609322805507493,1271281,383824,137570,277875,195694,276318,1017063,0.800030048431464,72644.62857142858,0.42272727272727373,128.14285714285714,174.64285714285714,MO
Missouri,Establishments with 250 to 499 employees,7,1940,Midwest,0.8609322805507493,1271281,383824,137570,277875,195694,276318,1017063,0.800030048431464,72644.62857142858,0.42272727272727373,128.14285714285714,277.14285714285717,MO
Nebraska,Establishments with 50 to 99 employees,3,213,Midwest,0.875638584484006,422587,118504,44260,92464,76156,91203,343372,0.8125474754310946,93908.22222222222,0.43263636363636415,202.0,71.0,NE
Nebraska,Establishments with 100 to 249 employees,6,762,Midwest,0.875638584484006,422587,118504,44260,92464,76156,91203,343372,0.8125474754310946,93908.22222222222,0.43263636363636415,202.0,127.0,NE
Nevada,Establishments with 50 to 99 employees,14,930,West,0.9224362858233549,548919,176990,57907,125194,66172,122656,413130,0.7526247041913288,78417.0,0.9090000000000007,220.0,66.42857142857143,NV
New Hampshire,Establishments with 50 to 99 employees,10,657,Northeast,0.8712560852906203,368237,137622,36642,69922,39679,84372,280413,0.7615014243544239,56651.846153846156,-0.059545454545455456,103.0,65.7,NH
New Hampshire,Establishments with 100 to 249 employees,3,461,Northeast,0.8712560852906203,368237,137622,36642,69922,39679,84372,280413,0.7615014243544239,56651.846153846156,-0.059545454545455456,103.0,153.66666666666666,NH
New Jersey,Establishments with 50 to 99 employees,96,6539,Northeast,0.9072385321580911,2551765,965254,225607,551474,268203,541227,2076227,0.8136434977358808,26171.94871794872,-0.21418181818181914,3.7142857142857144,68.11458333333333,NJ
New Jersey,Establishments with 100 to 249 employees,64,9580,Northeast,0.9072385321580911,2551765,965254,225607,551474,268203,541227,2076227,0.8136434977358808,26171.94871794872,-0.21418181818181914,3.7142857142857144,149.6875,NJ
New Jersey,Establishments with 250 to 499 employees,24,8711,Northeast,0.9072385321580911,2551765,965254,225607,551474,268203,541227,2076227,0.8136434977358808,26171.94871794872,-0.21418181818181914,3.7142857142857144,362.9583333333333,NJ
New Jersey,Establishments with 500 to 999 employees,5,3630,Northeast,0.9072385321580911,2551765,965254,225607,551474,268203,541227,2076227,0.8136434977358808,26171.94871794872,-0.21418181818181914,3.7142857142857144,726.0,NJ
New Jersey,Establishments with 1000 employees or more,6,21507,Northeast,0.9072385321580911,2551765,965254,225607,551474,268203,541227,2076227,0.8136434977358808,26171.94871794872,-0.21418181818181914,3.7142857142857144,3584.5,NJ
New Mexico,Establishments with 50 to 99 employees,5,329,Southwest,0.8360397919206395,394598,147820,41657,54692,57259,93170,275109,0.6971880242677357,157839.2,-0.4409090909090896,220.0,65.8,NM
New York,Establishments with 50 to 99 employees,63,4213,Northeast,0.8504368544473978,5166218,1789079,479671,964887,545542,1387039,4176972,0.8085164040696695,68882.90666666666,0.4830909090909081,45.38095238095238,66.87301587301587,NY
New York,Establishments with 100 to 249 employees,56,8379,Northeast,0.8504368544473978,5166218,1789079,479671,964887,545542,1387039,4176972,0.8085164040696695,68882.90666666666,0.4830909090909081,45.38095238095238,149.625,NY
New York,Establishments with 250 to 499 employees,16,5566,Northeast,0.8504368544473978,5166218,1789079,479671,964887,545542,1387039,4176972,0.8085164040696695,68882.90666666666,0.4830909090909081,45.38095238095238,347.875,NY
New York,Establishments with 500 to 999 employees,10,6678,Northeast,0.8504368544473978,5166218,1789079,479671,964887,545542,1387039,4176972,0.8085164040696695,68882.90666666666,0.4830909090909081,45.38095238095238,667.8,NY
New York,Establishments with 1000 employees or more,5,10736,Northeast,0.8504368544473978,5166218,1789079,479671,964887,545542,1387039,4176972,0.8085164040696695,68882.90666666666,0.4830909090909081,45.38095238095238,2147.2,NY
North Carolina,Establishments with 50 to 99 employees,29,1929,Southeast,0.8284893911166603,2321185,800921,233162,471697,280963,534442,1845777,0.7951873719673357,80040.86206896552,0.3755454545454544,82.25,66.51724137931035,NC
North Carolina,Establishments with 100 to 249 employees,23,3817,Southeast,0.8284893911166603,2321185,800921,233162,471697,280963,534442,1845777,0.7951873719673357,80040.86206896552,0.3755454545454544,82.25,165.95652173913044,NC
North Carolina,Establishments with 500 to 999 employees,3,2231,Southeast,0.8284893911166603,2321185,800921,233162,471697,280963,534442,1845777,0.7951873719673357,80040.86206896552,0.3755454545454544,82.25,743.6666666666666,NC
North Carolina,Establishments with 1000 employees or more,3,5300,Southeast,0.8284893911166603,2321185,800921,233162,471697,280963,534442,1845777,0.7951873719673357,80040.86206896552,0.3755454545454544,82.25,1766.6666666666667,NC
North Dakota,Establishments with 50 to 99 employees,3,223,Midwest,0.8076691924250816,153397,42009,24017,31208,29033,27130,124809,0.8136339041832631,102264.66666666667,1.2245454545454555,220.0,74.33333333333333,ND
Ohio,Establishments with 50 to 99 employees,42,2812,Midwest,0.8836360177542177,2356585,726748,277212,503277,351202,498146,1873907,0.7951790408578515,57477.68292682927,-0.4413636363636364,157.22222222222223,66.95238095238095,OH
Ohio,Establishments with 100 to 249 employees,30,4052,Midwest,0.8836360177542177,2356585,726748,277212,503277,351202,498146,1873907,0.7951790408578515,57477.68292682927,-0.4413636363636364,157.22222222222223,135.06666666666666,OH
Ohio,Establishments with 250 to 499 employees,10,3587,Midwest,0.8836360177542177,2356585,726748,277212,503277,351202,498146,1873907,0.7951790408578515,57477.68292682927,-0.4413636363636364,157.22222222222223,358.7,OH
Oklahoma,Establishments with 50 to 99 employees,7,499,Southwest,0.8685245517913377,686509,200274,70853,154362,124801,136219,529068,0.7706643321500519,124819.81818181818,0.19809090909090976,196.0,71.28571428571429,OK
Oklahoma,Establishments with 100 to 249 employees,4,563,Southwest,0.8685245517913377,686509,200274,70853,154362,124801,136219,529068,0.7706643321500519,124819.81818181818,0.19809090909090976,196.0,140.75,OK
Oregon,Establishments with 50 to 99 employees,14,992,West,0.9003085215265557,1032316,420064,86986,149989,110849,264428,782560,0.7580624537447835,86026.33333333333,0.5394545454545465,202.0,70.85714285714286,OR
Oregon,Establishments with 100 to 249 employees,10,1562,West,0.9003085215265557,1032316,420064,86986,149989,110849,264428,782560,0.7580624537447835,86026.33333333333,0.5394545454545465,202.0,156.2,OR
